datazone,AreaName,12_14,13_15,14_16,15_17,16_18,17_19
S01012866,Burnhill and Bankhead North - 02,14.81,3.7,4,7.41,8,20.69
S01012867,Burnhill and Bankhead North - 03,23.81,23.81,13.64,28.57,23.53,28.57
S01012868,Burnhill and Bankhead North - 04,20,41.18,38.89,40,20,37.5
S01012869,Burnhill and Bankhead North - 05,48.57,66.67,58.33,58.82,40,33.33
S01012882,Burnside and Springhall - 01,41.94,53.85,38.1,27.27,19.23,19.05
S01012883,Burnside and Springhall - 02,50,55.17,64,57.89,42.86,30.43
S01012884,Burnside and Springhall - 03,13.33,7.69,7.69,7.69,8.33,0
S01012885,Burnside and Springhall - 04,34.78,35,40,22.22,15.79,20
S01012886,Burnside and Springhall - 05,25,15.79,14.29,5.26,16.67,14.29
S01012887,Burnside and Springhall - 06,7.14,7.14,9.09,0,0,0
S01012888,Burnside and Springhall - 07,0,0,0,0,0,0
S01009458,Burntisland Central,41.18,29.41,16.67,7.14,16.67,28.57
S01009460,Burntisland Docks,46.67,44.19,32.5,24.24,21.21,25.93
S01009466,Burntisland East,0,0,0,0,0,0
S01009464,Burntisland East Toll,17.65,3.85,5,4.55,4.35,0
S01009462,Burntisland Grange and Orrock,31.25,35.29,25,14.29,0,13.33
S01009461,Burntisland Kirkton,7.69,5.26,2.63,0,2.33,2.63
S01009459,Burntisland Links,12,7.69,9.52,26.09,33.33,39.29
S01009465,Burntisland Meadowfield,15.38,20,14.29,14.29,13.33,10
S01009463,Burntisland Nether Grange,30,25,25,30.77,38.89,37.5
S01008366,Busby - 01,10,6.67,0,9.09,4.76,4.76
S01008367,Busby - 02,15.38,9.52,10.53,11.11,5.56,5.56
S01008368,Busby - 03,22.73,20,8,0,0,0
S01008369,Busby - 04,7.69,0,0,0,0,0
S01008370,Busby - 05,0,8.33,6.25,4.55,0,0
S01007340,Bute - 01,12.5,0,0,0,0,10
S01007341,Bute - 02,16.67,25,33.33,0,11.11,18.18
S01007342,Bute - 03,25,0,0,0,0,0
S01007343,Bute - 04,14.29,11.11,11.11,12.5,12.5,0
S01009600,Cadham,44,48,48.15,40,30.43,29.17
S01009601,Cadham South,35.71,32.14,19.23,20,10,16.67
S01007807,Caird Park - 01,5.56,4.55,3.7,0,0,5.88
S01007808,Caird Park - 02,35,33.33,38.89,36.11,28.95,30.56
S01007809,Caird Park - 03,12.5,7.14,8.33,21.43,16.67,13.64
S01007810,Caird Park - 04,40.62,34.38,44,37.93,29.17,20
S01009284,Cairneyhill East,12.5,22.22,11.11,10,7.69,7.69
S01009285,Cairneyhill North,21.74,20.83,20.83,13.64,11.11,0
S01009286,Cairneyhill West,15.79,8.33,12.5,6.25,5.56,0
S01011641,Cairnhill - 01,0,8.33,7.14,9.09,0,0
S01011642,Cairnhill - 02,8.33,7.41,13.04,13.04,13.64,11.11
S01011643,Cairnhill - 03,10.71,3.45,3.33,12.12,12.5,9.09
S01011644,Cairnhill - 04,8.33,8.33,8.7,0,0,0
S01011645,Cairnhill - 05,33.33,17.65,14.29,0,0,8.33
S01011646,Cairnhill - 06,14.29,16.67,0,0,0,0
S01011647,Cairnhill - 07,10,10,7.41,4.76,0,0
S01009730,Cairnsmill,7.14,0,6.67,5.56,11.76,7.14
S01010787,Caithness North East - 01,11.76,8.33,12.5,28.57,22.22,7.14
S01010788,Caithness North East - 02,20,14.29,6.25,0,6.67,33.33
S01010789,Caithness North East - 03,8.7,12.5,16.67,20,13.33,16.67
S01010790,Caithness North East - 04,10,5.56,0,0,0,0
S01010791,Caithness North East - 05,5.56,0,0,0,0,0
S01010792,Caithness North West - 01,5.88,11.76,20,26.32,44.44,47.06
S01010793,Caithness North West - 02,11.11,11.11,0,10,16.67,11.11
S01010794,Caithness North West - 03,0,12,20.83,24.14,23.81,14.29
S01010795,Caithness North West - 04,13.64,6.25,10,12.5,16.67,20
S01010796,Caithness North West - 05,10.53,6.25,0,0,0,0
S01010797,Caithness North West - 06,7.69,3.85,3.7,0,0,0
S01010798,Caithness North West - 07,8.33,0,8.33,20,23.08,27.27
S01010772,Caithness South - 01,7.14,16.67,16.67,25,15.38,18.18
S01010773,Caithness South - 02,0,0,0,0,11.11,11.11
S01010774,Caithness South - 03,42.11,41.67,44.44,31.25,37.5,44.44
S01010775,Caithness South - 04,5,10.71,7.14,8.7,8.7,8.7
S01011613,Calderbank and Brownsburn - 01,8.7,11.76,7.14,5.88,5.56,5.56
S01011614,Calderbank and Brownsburn - 02,41.67,27.27,10,0,8.33,10
S01011615,Calderbank and Brownsburn - 03,26.92,32,25,22.73,9.09,15
S01011616,Calderbank and Brownsburn - 04,44.44,35,21.05,13.33,17.65,17.65
S01011675,Caldercruix and Plains - 01,26.92,18.52,15.38,20,22.73,22.22
S01011676,Caldercruix and Plains - 02,0,4.17,10.53,11.76,26.32,31.25
S01011677,Caldercruix and Plains - 03,14.81,7.41,19.35,20,28.57,22.58
S01011678,Caldercruix and Plains - 04,28.57,37.5,50,52.63,52.94,40
S01011679,Caldercruix and Plains - 05,4.35,14.29,11.54,16.22,6.45,6.25
S01011680,Caldercruix and Plains - 06,36,28.57,25.81,22.58,18.75,21.43
S01011681,Caldercruix and Plains - 07,21.43,13.33,25.93,20.83,27.59,23.33
S01011682,Caldercruix and Plains - 08,33.33,25,25,10,15.38,13.33
S01012906,Calderwood Central - 01,9.09,9.52,5.88,12.5,12.5,21.05
S01012907,Calderwood Central - 02,8.7,14.81,20,21.05,4.76,11.54
S01012908,Calderwood Central - 03,15.79,19.05,17.39,32,26.09,15
S01012909,Calderwood Central - 04,13.33,12.5,14.29,14.29,7.69,20
S01012910,Calderwood Central - 05,0,0,8.33,17.65,23.53,19.05
S01012901,Calderwood East - 01,7.41,3.23,7.41,15.38,25,21.05
S01012902,Calderwood East - 02,26.67,15.79,17.39,8.33,9.52,9.09
S01012903,Calderwood East - 03,23.08,17.86,24,20.83,19.05,10
S01012904,Calderwood East - 04,24,18.52,16.67,11.11,10,15.79
S01012905,Calderwood East - 05,15,19.05,17.65,14.29,11.76,17.65
S01012911,Calderwood West and Nerston - 01,7.69,7.14,0,0,0,5.26
S01012912,Calderwood West and Nerston - 02,7.69,13.33,17.65,27.27,22.73,31.25
S01012913,Calderwood West and Nerston - 03,0,7.69,13.33,12.5,21.05,22.22
S01012914,Calderwood West and Nerston - 04,15.15,20.69,13.79,10,3.85,5
S01012915,Calderwood West and Nerston - 05,2.7,3.03,5,7.5,12.2,9.38
S01013112,Callander and Trossachs - 01,14.29,15.79,13.33,0,0,0
S01013113,Callander and Trossachs - 02,25,27.27,21.74,13.04,15.38,12.9
S01013114,Callander and Trossachs - 03,5.88,10.53,12.5,7.14,0,0
S01013115,Callander and Trossachs - 04,15.38,22.22,20,15,12.5,12.5
S01013116,Callander and Trossachs - 05,9.09,8.33,11.11,11.11,22.22,28.57
S01007601,Calside - 01,4.17,9.09,9.52,15.79,13.33,11.76
S01007602,Calside - 02,21.05,22.22,11.11,5.26,5.56,7.14
S01007603,Calside - 03,9.09,10.53,8.33,0,0,0
S01007604,Calside - 04,11.11,22.22,12.5,11.11,0,0
S01010037,Calton and Gallowgate - 01,28,16.67,15.79,13.64,20.83,26.32
S01010038,Calton and Gallowgate - 02,9.09,11.43,16.67,17.5,14.63,15.15
S01010039,Calton and Gallowgate - 03,5,4.55,4.55,5.88,6.67,0
S01010040,Calton and Gallowgate - 04,21.88,9.38,7.14,4.17,5.56,5.56
S01010041,Calton and Gallowgate - 05,4.76,9.52,20,27.27,18.18,11.11
S01013019,Cambusbarron - 01,7.41,9.52,3.57,4,0,0
S01013020,Cambusbarron - 02,14.29,10,15.38,11.11,10.53,11.76
S01013021,Cambusbarron - 03,15,11.76,10.53,26.67,21.43,22.22
S01013022,Cambusbarron - 04,8.33,12.5,14.29,13.33,0,5
S01013023,Cambusbarron - 05,0,0,0,0,0,0
S01013024,Cambusbarron - 06,0,12.5,10,6.67,0,0
S01012843,Cambuslang Central - 01,0,0,0,0,0,0
S01012844,Cambuslang Central - 02,0,0,0,0,0,0
S01012845,Cambuslang Central - 03,6.25,5.26,4.76,0,4.17,4.55
S01012846,Cambuslang Central - 04,25.93,22.22,12.5,15.38,16.67,17.24
S01012847,Cambuslang Central - 05,21.43,12.5,12.5,5.88,6.67,10
S01007333,Campbeltown - 01,9.52,15,5.56,5.88,0,0
S01007334,Campbeltown - 02,47.83,45.45,30,20,25,22.22
S01007335,Campbeltown - 03,31.25,19.44,21.21,10.34,10.34,13.04
S01007336,Campbeltown - 04,13.33,14.29,13.33,8.33,21.43,30
S01007337,Campbeltown - 05,25,46.15,45.45,35.71,28.57,27.27
S01007338,Campbeltown - 06,5.26,5.26,15.79,23.53,26.67,18.18
S01007339,Campbeltown - 07,37.5,0,11.11,0,16.67,14.29
S01009731,Canongate,22.22,12.5,0,0,0,0
S01008680,"Canongate, Southside and Dumbiedykes - 01",3.7,0,0,0,0,0
S01008681,"Canongate, Southside and Dumbiedykes - 02",10,16,15,12.5,7.14,21.43
S01008682,"Canongate, Southside and Dumbiedykes - 03",16.67,16.67,5.88,0,0,0
S01008683,"Canongate, Southside and Dumbiedykes - 04",20,35.14,35.29,43.33,24.14,15.15
S01008684,"Canongate, Southside and Dumbiedykes - 05",15.62,10.34,16,14.81,20,17.24
S01008685,"Canongate, Southside and Dumbiedykes - 06",10.53,8.7,5.56,5.88,0,0
S01008853,Canonmills and New Town North - 01,2.94,3.45,5.56,0,0,0
S01008854,Canonmills and New Town North - 02,0,0,0,0,0,4
S01008855,Canonmills and New Town North - 03,0,0,0,0,0,0
S01008856,Canonmills and New Town North - 04,4.17,5,0,0,0,4.76
S01009519,Capshard,15,23.08,13.79,14.29,3.45,3.33
S01009438,Cardenden East,21.88,26.92,28,34.62,29.63,24
S01009439,Cardenden West,31.82,29.17,33.33,28,29.63,31.82
S01009810,Cardonald North - 01,41.67,30.3,27.78,19.44,16,20.83
S01009811,Cardonald North - 02,15.62,11.11,7.69,14.29,22.22,22.22
S01009812,Cardonald North - 03,38.46,34.62,16,7.69,7.69,7.41
S01009813,Cardonald North - 04,26.32,10.53,19.23,16.67,16,15
S01009814,Cardonald North - 05,25,21.05,19.05,14.81,7.14,5.88
S01009806,Cardonald South and East - 01,40,35.71,25,12.5,15,11.11
S01009807,Cardonald South and East - 02,19.35,22.73,17.86,21.21,14.29,11.11
S01009808,Cardonald South and East - 03,23.53,20.83,26.67,8.33,12.5,7.14
S01009809,Cardonald South and East - 04,24.14,18.52,23.33,23.53,21.21,13.33
S01009815,Cardonald West and Central - 01,24,12.5,17.86,18.18,24.14,17.24
S01009816,Cardonald West and Central - 02,11.11,18.18,18.18,20,19.35,14.29
S01009817,Cardonald West and Central - 03,50,45.45,31.25,11.76,12.5,11.76
S01009818,Cardonald West and Central - 04,10,0,0,8.33,6.25,6.67
S01009819,Cardonald West and Central - 05,5.88,4.55,0,0,4.76,5
S01009820,Cardonald West and Central - 06,17.39,12,8.7,6.9,8.33,13.04
S01009821,Cardonald West and Central - 07,6.67,7.69,16.67,23.81,18.52,8
S01011696,Cardowan and Millerston - 01,0,0,0,0,2.38,3.57
S01011697,Cardowan and Millerston - 02,3.51,5.77,5.56,1.89,1.92,2.13
S01011698,Cardowan and Millerston - 03,5.88,5.88,8.11,3.45,9.38,10
S01011699,Cardowan and Millerston - 04,4.55,0,0,0,9.38,6.98
S01011700,Cardowan and Millerston - 05,8.7,8.7,7.69,13.33,7.69,10
S01012261,Cardrona,14.29,11.11,0,0,0,0
S01011456,Carfin North - 01,13.04,14.29,5.56,9.09,18.75,25
S01011457,Carfin North - 02,27.03,27.27,26.47,28,25.81,19.35
S01011458,Carfin North - 03,17.86,20.83,8.33,2.94,0,0
S01011459,Carfin North - 04,9.43,5.88,12,13.04,9.76,5.26
S01011464,Carfin and Cleekhimin - 01,3.45,0,0,0,7.41,11.54
S01011465,Carfin and Cleekhimin - 02,25,38.1,50,52.38,31.58,25
S01011466,Carfin and Cleekhimin - 03,34.78,33.33,18.52,19.44,6.67,18.75
S01011467,Carfin and Cleekhimin - 04,11.76,16.67,12.5,18.18,18.18,27.27
S01011468,Carfin and Cleekhimin - 05,5.56,4.88,4.44,2.33,0,0
S01011469,Carfin and Cleekhimin - 06,20.51,24.14,21.88,21.05,21.21,31.25
S01011470,Carfin and Cleekhimin - 07,11.9,13.16,16.13,20.59,18.92,13.95
S01012244,Carlops Romannobridge,4,0,0,0,0,0
S01012606,Carluke East - 01,0,3.23,6.45,6.25,6.45,5.26
S01012607,Carluke East - 02,25,17.39,12,0,4.55,11.76
S01012608,Carluke East - 03,13.79,5,15.79,20,23.81,19.05
S01012609,Carluke East - 04,25,18.18,24,12.5,28.57,36
S01012610,Carluke East - 05,33.33,21.05,24.32,30.56,33.33,33.33
S01012602,Carluke North - 01,33.33,22.22,12,20,26.09,23.81
S01012603,Carluke North - 02,14.29,25.93,36.36,34.78,25,15.38
S01012604,Carluke North - 03,20,26.32,25,18.18,15.79,23.81
S01012605,Carluke North - 04,8.33,25,21.43,28.57,11.11,11.76
S01012611,Carluke South - 01,0,7.69,7.41,5.88,5.56,2
S01012612,Carluke South - 02,18.75,18.75,26.67,29.41,27.78,23.53
S01012613,Carluke South - 03,9.09,7.69,7.69,18.75,20,18.18
S01012614,Carluke South - 04,14.29,10,14.63,16.22,28.57,23.53
S01012598,Carluke West - 01,14.29,15,15.79,12,5.56,5.26
S01012599,Carluke West - 02,25,13.33,6.25,5.56,11.76,14.29
S01012600,Carluke West - 03,4.35,0,0,0,0,0
S01012601,Carluke West - 04,3.7,0,4.35,8,15.38,13.64
S01013346,Carmondean and Eliburn North - 01,16.67,13.04,11.54,13.79,9.09,5.88
S01013347,Carmondean and Eliburn North - 02,0,0,0,0,11.54,15
S01013348,Carmondean and Eliburn North - 03,5.26,7.14,9.68,14.71,17.24,16.67
S01013349,Carmondean and Eliburn North - 04,10.53,8.33,10,8.77,9.09,5.71
S01013350,Carmondean and Eliburn North - 05,32.14,33.33,29.17,34.62,30.77,46.15
S01013351,Carmondean and Eliburn North - 06,25,14.29,12.9,9.09,18.75,14.29
S01013352,Carmondean and Eliburn North - 07,17.86,17.65,21.88,12.9,6.9,4.35
S01013353,Carmondean and Eliburn North - 08,27.59,25.93,25,21.88,21.43,16.67
S01009965,Carmunnock North - 01,11.11,11.76,5.26,0,4.55,5.26
S01009966,Carmunnock North - 02,5.26,0,0,0,0,0
S01009967,Carmunnock North - 03,15,14.29,0,0,0,5.88
S01009968,Carmunnock North - 04,17.65,23.53,13.33,10.53,4,4.35
S01009969,Carmunnock South - 01,7.41,4.55,4.17,0,0,0
S01009970,Carmunnock South - 02,33.33,34.48,50,36,37.5,29.63
S01009971,Carmunnock South - 03,38.89,28.57,22.22,19.15,17.78,25
S01009972,Carmunnock South - 04,10.81,14.71,15.62,16.67,6.06,6.45
S01010074,Carmyle and Mount Vernon South - 01,13.33,6.25,0,10.53,13.64,15.79
S01010075,Carmyle and Mount Vernon South - 02,0,11.11,18.18,40,21.43,17.65
S01010076,Carmyle and Mount Vernon South - 03,5.26,23.53,35.29,35,30,26.32
S01010077,Carmyle and Mount Vernon South - 04,25.93,29.17,22.22,21.43,30.77,25
S01009307,Carnegie Drive,23.08,20,18.75,9.38,9.38,17.14
S01009276,Carnock,16.67,14.29,21.43,7.69,12.5,10
S01007163,Carnoustie East - 01,21.43,12.5,15.79,13.04,18.18,18.18
S01007164,Carnoustie East - 02,38.46,7.14,0,6.67,16.67,20
S01007165,Carnoustie East - 03,5.88,13.33,12.5,10.53,0,10.53
S01007166,Carnoustie East - 04,0,0,0,6.67,7.69,7.14
S01007167,Carnoustie East - 05,7.69,0,0,0,0,0
S01007168,Carnoustie East - 06,0,7.14,7.14,12.5,13.33,10
S01007169,Carnoustie East - 07,0,8.33,13.33,18.18,9.09,0
S01007156,Carnoustie West - 01,20,10.53,8.7,12,15,22.22
S01007157,Carnoustie West - 02,41.18,33.33,27.78,21.05,10,11.11
S01007158,Carnoustie West - 03,14.71,12.9,8.33,11.11,9.52,11.11
S01007159,Carnoustie West - 04,27.27,16.67,16.67,23.33,24.24,30.56
S01007160,Carnoustie West - 05,30,16.67,12,14.81,33.33,32
S01007161,Carnoustie West - 06,5.56,7.14,20,31.58,30,22.22
S01007162,Carnoustie West - 07,30,25,15,20,17.65,12.5
S01010152,Carntyne - 01,39.39,36.67,22.58,6.9,8,8.33
S01010153,Carntyne - 02,15.79,26.09,25.93,23.33,13.79,12
S01010154,Carntyne - 03,7.69,4.76,6.67,0,6.67,7.14
S01010155,Carntyne - 04,36.36,25,28.57,23.08,20,13.33
S01010242,Carntyne West and Haghill - 01,14.29,14.29,27.59,35.71,32,20
S01010243,Carntyne West and Haghill - 02,25,28.89,24.39,28.57,16.67,15.38
S01010244,Carntyne West and Haghill - 03,27.27,41.67,37.5,27.27,18.18,10.53
S01010245,Carntyne West and Haghill - 04,35.14,34.21,30.3,26.47,25.81,30.3
S01010246,Carntyne West and Haghill - 05,15.79,17.95,21.88,22.22,13.79,21.88
S01010247,Carntyne West and Haghill - 06,6.25,0,5.88,6.67,10.53,7.69
S01009944,Carnwadric East - 01,23.53,27.27,20,19.23,10.71,7.14
S01009945,Carnwadric East - 02,21.88,24.32,23.91,31.11,31.71,29.41
S01009946,Carnwadric East - 03,10.71,15.62,15.79,21.95,20,25
S01009947,Carnwadric East - 04,22.73,31.58,23.53,21.43,9.09,15.38
S01009939,Carnwadric West - 01,42.37,44,48.57,51.85,34.78,40
S01009940,Carnwadric West - 02,50,45.45,37.5,27.27,22.73,14.29
S01009941,Carnwadric West - 03,11.63,15.62,7.69,3.23,0,3.33
S01009942,Carnwadric West - 04,41.18,43.33,25,25.58,23.08,33.33
S01009943,Carnwadric West - 05,39.47,25.81,17.86,14.81,13.33,20
S01008977,Carrick Knowe - 01,0,0,0,0,0,0
S01008978,Carrick Knowe - 02,14.29,5.88,5.88,0,0,0
S01008979,Carrick Knowe - 03,6.9,5.71,6.67,6.06,12.9,19.35
S01008980,Carrick Knowe - 04,6.67,14.81,16,28.57,25,17.14
S01012441,Carrick North - 01,5.56,0,0,0,0,0
S01012442,Carrick North - 02,17.86,16.67,13.33,11.36,5.26,2.5
S01012443,Carrick North - 03,17.39,6.67,9.09,0,0,0
S01012444,Carrick North - 04,7.69,13.33,15.38,6.67,0,10
S01012445,Carrick North - 05,0,0,0,0,0,9.09
S01012417,Carrick South - 01,20,20,10,25,26.32,25
S01012418,Carrick South - 02,11.11,12.5,16.67,26.67,30.77,33.33
S01012419,Carrick South - 03,29.41,28.57,22.22,37.5,50,36.36
S01012420,Carrick South - 04,21.43,30.77,25,18.18,23.08,30.77
S01012421,Carrick South - 05,21.43,14.29,27.78,17.65,17.65,7.14
S01012422,Carrick South - 06,25,33.33,12.5,11.11,4.76,12.5
S01012423,Carrick South - 07,15.38,7.14,7.69,0,7.14,16.67
S01011771,Carrickstone - 01,0,9.09,9.09,6.67,6.25,5.26
S01011772,Carrickstone - 02,5.56,9.52,11.76,5.26,0,0
S01011773,Carrickstone - 03,0,5.56,8.33,7.69,0,0
S01011774,Carrickstone - 04,0,8,9.09,10,5.88,4.76
S01011775,Carrickstone - 05,0,0,0,0,0,0
S01011776,Carrickstone - 06,2.78,0,5.88,7.14,9.09,0
S01009113,Carron - 01,3.7,4.76,0,0,0,0
S01009114,Carron - 02,14.29,15,11.76,0,0,14.29
S01009115,Carron - 03,11.76,26.32,31.58,31.25,13.33,11.11
S01009116,Carron - 04,0,0,0,0,,0
S01009117,Carronshore - 01,18.75,7.14,10,3.85,9.09,4.17
S01009118,Carronshore - 02,16,10.53,7.14,7.69,0,0
S01009119,Carronshore - 03,13.33,20,17.65,21.05,11.11,9.52
S01009120,Carronshore - 04,11.11,15.38,13.33,0,11.11,16.67
S01009121,Carse and Grangemouth Old Town - 01,20,16.67,14.71,15.62,11.43,11.11
S01009122,Carse and Grangemouth Old Town - 02,11.54,12.5,5.88,1.72,0,4.6
S01009123,Carse and Grangemouth Old Town - 03,15.79,10.53,12.5,5.26,0,4.17
S01009124,Carse and Grangemouth Old Town - 04,0,0,0,0,0,0
S01009125,Carse and Grangemouth Old Town - 05,6.67,21.43,23.53,28.57,21.43,8.33
S01013106,Carse of Stirling - 01,0,11.11,15.79,12.5,5,0
S01013107,Carse of Stirling - 02,8.33,6.06,8.16,7.84,8.33,7.14
S01013108,Carse of Stirling - 03,23.53,20,13.64,0,5.56,9.09
S01013109,Carse of Stirling - 04,7.69,7.69,3.33,3.45,3.45,7.41
S01013110,Carse of Stirling - 05,20,7.14,0,0,0,0
S01013111,Carse of Stirling - 06,0,0,0,0,0,0
S01012581,"Carstairs, Carstairs Junction and Carnwath - 01",39.13,32.14,26.67,21.43,23.81,31.25
S01012582,"Carstairs, Carstairs Junction and Carnwath - 02",11.76,11.76,9.09,8.57,8.57,8.57
S01012583,"Carstairs, Carstairs Junction and Carnwath - 03",21.05,31.58,26.09,23.33,17.24,12.5
S01012584,"Carstairs, Carstairs Junction and Carnwath - 04",26.32,22.22,25,21.05,16.67,11.76
S01012585,"Carstairs, Carstairs Junction and Carnwath - 05",29.17,20,13.64,19.05,24,31.03
S01012586,"Carstairs, Carstairs Junction and Carnwath - 06",9.09,5.26,16.67,18.75,17.65,15
S01009566,Caskieberran East,18.42,27.78,20.59,16.67,11.76,19.51
S01009567,Caskieberran West,36.84,37.78,37.5,37.5,37.14,40
S01007534,Castle Douglas - 01,14.29,20,25,33.33,28.57,23.81
S01007535,Castle Douglas - 02,23.33,25,20,19.35,22.22,26.92
S01007536,Castle Douglas - 03,17.86,19.23,14.29,3.45,3.33,12.12
S01007537,Castle Douglas - 04,29.03,27.59,24.24,24.14,23.53,30.77
S01007538,Castle Douglas - 05,11.54,7.41,4.35,9.52,18.18,21.05
S01012459,Castlehill and Kincaidston - 01,0,5,5,5.26,0,0
S01012460,Castlehill and Kincaidston - 02,12.5,0,0,0,0,0
S01012461,Castlehill and Kincaidston - 03,16.67,7.69,5,9.09,5.26,23.53
S01012462,Castlehill and Kincaidston - 04,27.59,26.09,20,21.05,30.77,34.48
S01012463,Castlehill and Kincaidston - 05,25,36.36,31.82,35,31.58,23.53
S01012464,Castlehill and Kincaidston - 06,28.57,31.25,29.41,25,31.58,22.73
S01012465,Castlehill and Kincaidston - 07,36.36,33.33,25,29.63,30.43,26.32
S01009986,Castlemilk - 01,36,38.46,41.67,47.83,45.83,36
S01009987,Castlemilk - 02,11.76,16.67,20,33.33,31.25,22.73
S01009988,Castlemilk - 03,20,11.11,0,9.09,25,31.25
S01009989,Castlemilk - 04,16.67,20,11.54,12,3.45,9.09
S01009990,Castlemilk - 05,29.03,17.86,14.81,8.33,5.88,11.11
S01009991,Castlemilk - 06,26.67,26.09,24,4.17,11.11,20
S01009992,Castlemilk - 07,11.76,31.58,40,33.33,23.81,16
S01010005,Cathcart - 01,13.64,12.5,7.41,3.85,3.7,4
S01010006,Cathcart - 02,21.88,12.5,8.89,11.9,8.57,6.25
S01010007,Cathcart - 03,11.11,11.76,0,0,0,0
S01010008,Cathcart - 04,14.29,12,9.38,4.35,4,6.67
S01010009,Cathcart - 05,23.08,16,18.18,7.69,14.29,7.14
S01010010,Cathcart - 06,1.96,2.17,2.38,2.33,2.27,2.04
S01013080,Causewayhead - 01,4,4.17,0,0,0,0
S01013081,Causewayhead - 02,0,2.94,2.17,2.17,0,0
S01013082,Causewayhead - 03,15,18.75,13.33,7.14,0,0
S01010110,Central Easterhouse - 01,27.78,19.35,13.33,13.79,17.65,20.59
S01010111,Central Easterhouse - 02,23.08,22.58,20.69,17.24,13.33,24
S01010112,Central Easterhouse - 03,22.73,28.57,21.62,20,12.9,15
S01012402,Central Shetland - 01,10.53,6.67,12.5,13.89,18.92,14.29
S01012403,Central Shetland - 02,8.7,11.11,6.98,9.52,8.11,6.25
S01012404,Central Shetland - 03,16.67,17.86,18.75,9.68,4.55,10.53
S01012405,Central Shetland - 04,4.55,4.55,7.14,9.52,10.53,5.56
S01011938,Central and South Inch - 01,22.86,10,12.5,16,22.73,21.74
S01011939,Central and South Inch - 02,33.33,33.33,31.58,26.67,25,17.65
S01011940,Central and South Inch - 03,23.08,38.46,33.33,40,30.43,42.86
S01011941,Central and South Inch - 04,25,16.67,15.79,20,29.41,25
S01011942,Central and South Inch - 05,25.81,24.14,17.24,39.39,38.71,36.67
S01011943,Central and South Inch - 06,17.54,24.49,32,32.61,29.63,28.89
S01009695,Ceres East and Pitscottie,0,0,0,7.69,18.18,14.29
S01009520,Chapel,12.9,9.38,7.14,13.33,16.67,15.63
S01009518,Chapel Moss,7.14,6.52,5,4.55,4.26,4.88
S01011620,Chapelhall East - 01,2.38,2.38,2,4.17,7.32,8.11
S01011621,Chapelhall East - 02,17.86,18.52,11.76,18.18,16.67,12.5
S01011622,Chapelhall East - 03,6.9,4.76,3.7,3.33,8.57,10.71
S01011623,Chapelhall East - 04,18.18,20,23.08,28.57,33.33,30.43
S01011624,Chapelhall East - 05,14.81,29.63,34.62,32.26,32,41.67
S01011617,Chapelhall West - 01,18.42,25.71,26.67,37.5,27.78,15
S01011618,Chapelhall West - 02,36.84,33.33,28,31.58,16.67,14.29
S01011619,Chapelhall West - 03,14.89,20.93,22.86,16,8.7,4.17
S01009516,Chapelhill and Torbain,16.67,23.53,33.33,36,29.17,18.52
S01012695,"Chapelton, Glengavel and Sandford - 01",22.73,33.33,14.29,23.53,20,27.27
S01012696,"Chapelton, Glengavel and Sandford - 02",18.18,10,18.18,9.09,10,5.26
S01012697,"Chapelton, Glengavel and Sandford - 03",0,0,0,0,0,4
S01012698,"Chapelton, Glengavel and Sandford - 04",18.75,7.14,0,9.52,14.29,16.67
S01009517,Chapelwood,5.17,2,0,0,0,0
S01007845,Charleston - 01,50.91,47.37,40.54,29.03,28.57,22.86
S01007846,Charleston - 02,45.95,31.43,33.33,31.25,60,51.61
S01007847,Charleston - 03,51.06,48.89,43.48,29.17,34.21,26.32
S01007848,Charleston - 04,32.43,42.42,33.33,39.29,30,40.74
S01007849,Charleston - 05,33.33,36.54,42.86,39.62,40.43,23.08
S01009288,Charlestown and Bellknowes,8.33,0,0,0,0,3.45
S01012321,Chirnside - East,20,26.67,25,16.13,15.15,13.89
S01012320,Chirnside - West,52.38,38.1,25,21.43,18.18,21.43
S01011704,Chryston and Muirhead - 01,13.64,10,10,4.35,4.35,0
S01011705,Chryston and Muirhead - 02,13.95,16.28,16.13,14.29,20,17.39
S01011706,Chryston and Muirhead - 03,4.55,11.54,12,13.04,4.35,4
S01011707,Chryston and Muirhead - 04,9.09,28.57,31.25,33.33,12.5,4.76
S01011708,Chryston and Muirhead - 05,17.39,16.67,17.39,20,23.08,23.81
S01007701,City Centre - 01,43.75,42.86,43.75,40,38.46,33.33
S01013067,City Centre - 01,29.41,33.33,36.36,22.22,10.53,22.22
S01007702,City Centre - 02,10.53,13.33,0,0,0,0
S01013068,City Centre - 02,13.04,20,29.41,31.25,27.78,22.22
S01007703,City Centre - 03,13.33,12.9,14.29,17.86,16.67,16.67
S01013069,City Centre - 03,30,30.77,10,21.43,15.38,20
S01007704,City Centre - 04,52.38,50,64.52,62.07,58.54,43.18
S01013070,City Centre - 04,23.81,15,10.53,23.08,54.55,58.33
S01007705,City Centre - 05,41.67,58.33,44.44,33.33,11.11,15.38
S01013071,City Centre - 05,12.5,8.33,21.43,50,46.15,30
S01007706,City Centre - 06,16.67,0,0,0,8.33,9.09
S01006587,City Centre East - 01,5.88,5,10,22.22,22.22,23.53
S01010259,City Centre East - 01,20,14.29,11.54,0,0,0
S01006588,City Centre East - 02,14.71,8.33,10.81,11.11,15,16.67
S01010260,City Centre East - 02,9.09,8.33,5.88,6.67,4.35,4.55
