datazone,AreaName,12_14,13_15,14_16,15_17,16_18,17_19
S01012456,Alloway and Doonfoot - 06,6.25,5.88,0,0,0,0
S01012457,Alloway and Doonfoot - 07,10,0,0,0,0,0
S01012458,Alloway and Doonfoot - 08,7.14,0,0,0,0,0
S01010732,Alness - 01,41.94,46.15,55.56,50,48.28,44
S01010733,Alness - 02,45.45,50,76.92,57.89,42.11,33.33
S01010734,Alness - 03,52.78,40,38.64,36.96,42.5,35.29
S01010735,Alness - 04,36,46,43.75,58.82,43.33,50
S01010736,Alness - 05,6.67,14.29,5.88,5.26,0,0
S01010737,Alness - 06,25.64,21.43,22.22,22.58,21.21,15.15
S01010738,Alness - 07,23.08,23.08,0,6.25,11.76,23.81
S01010739,Alness - 08,32,50,47.83,37.93,23.08,19.44
S01007999,Altonhill North and Onthank - 01,30,34.62,31.25,26.92,12.5,6.25
S01008000,Altonhill North and Onthank - 02,41.67,33.33,37.5,29.63,30.56,32.35
S01008001,Altonhill North and Onthank - 03,27.5,34.21,34.38,48.15,57.69,51.85
S01008002,Altonhill North and Onthank - 04,41.86,42.5,40.62,31.03,29.63,34.38
S01008003,Altonhill North and Onthank - 05,29.17,25,16,22.22,19.23,23.08
S01008004,Altonhill North and Onthank - 06,6.9,10.71,15.15,14.81,12,3.85
S01008005,"Altonhill South, Longpark and Hillhead - 01",9.09,7.41,3.57,1.72,3.85,7.41
S01008006,"Altonhill South, Longpark and Hillhead - 02",33.33,41.18,36.36,39.13,46.15,56
S01008007,"Altonhill South, Longpark and Hillhead - 03",62.5,50,56.52,54.84,48.28,45.45
S01008008,"Altonhill South, Longpark and Hillhead - 04",36.36,28.12,25.93,36.67,43.33,31.25
S01008009,"Altonhill South, Longpark and Hillhead - 05",30.3,30,34.29,25,15.15,13.16
S01008010,"Altonhill South, Longpark and Hillhead - 06",23.53,18.52,22.73,20.83,19.23,18.52
S01008011,"Altonhill South, Longpark and Hillhead - 07",50,46.67,48.28,33.33,22.22,15
S01007425,Alva - 01,39.13,21.74,25,5.26,0,5.56
S01007426,Alva - 02,20,28.57,33.33,22.22,28.57,22.22
S01007427,Alva - 03,23.81,18.18,8.7,8.7,8.7,21.05
S01007428,Alva - 04,16,13.64,13.64,11.11,11.11,22.73
S01007429,Alva - 05,20,25.93,17.86,20,26.09,36.84
S01007430,Alva - 06,8.33,12.5,22.22,27.27,28.57,20
S01007431,Alva - 07,0,10,20,28.57,33.33,20
S01011975,Alyth - 01,10,0,9.09,18.18,18.18,16.67
S01011976,Alyth - 02,33.33,26.09,20,33.33,40,46.67
S01011977,Alyth - 03,13.04,8,9.09,10.71,21.74,22.22
S01011978,Alyth - 04,33.33,29.41,23.53,31.58,33.33,31.58
S01012342,Ancrum and Lanton Area,0,0,0,0,0,6.67
S01010276,Anderston - 01,14.29,10.53,5.13,0,0,0
S01010277,Anderston - 02,5.88,4.55,9.52,8.7,9.09,7.41
S01010278,Anderston - 03,25,15.38,3.57,11.43,13.16,10
S01010279,Anderston - 04,5.88,15,10.53,12.5,0,0
S01010280,Anderston - 05,5,5.56,5.88,9.09,9.52,11.11
S01010281,Anderston - 06,5.71,7.41,4.17,0,6.25,5.88
S01007279,Angus Glens - 01,6.67,11.76,31.58,40,42.86,18.18
S01007280,Angus Glens - 02,11.11,15.38,14.29,12.5,6.25,6.67
S01007281,Angus Glens - 03,8.82,7.14,3.7,10,10.53,17.39
S01007282,Angus Glens - 04,7.14,16.67,8.33,21.43,14.29,12.5
S01007283,Angus Glens - 05,8.7,15.38,12.5,12.5,4.35,6.25
S01007664,Annan East - 01,26.67,35,27.27,22.73,15.79,28.57
S01007665,Annan East - 02,16.67,19.35,19.44,18.75,21.74,17.65
S01007666,Annan East - 03,20,20,0,0,0,0
S01007667,Annan East - 04,21.43,23.53,21.43,21.43,25,28.57
S01007668,Annan East - 05,22.45,29.17,29.27,22.86,11.43,15.79
S01007669,Annan East - 06,68.18,60,42.42,36.67,38.71,44
S01007670,Annan East - 07,42.86,41.67,38.46,35.71,40,44
S01007671,Annan East - 08,37.5,25,10,0,13.33,9.09
S01007660,Annan West - 01,25.64,33.33,34.48,36.67,32.35,35.71
S01007661,Annan West - 02,18.18,17.39,20,27.27,22.22,14.29
S01007662,Annan West - 03,25,21.43,17.39,22.73,29.41,37.5
S01007663,Annan West - 04,0,7.14,13.33,18.18,15.38,20
S01007651,Annandale East - 01,14.29,6.25,0,0,11.11,9.09
S01007652,Annandale East - 02,10,18.18,14.29,25,14.29,16.67
S01007653,Annandale East - 03,26.67,21.43,13.33,7.69,21.43,20
S01007654,Annandale East - 04,21.74,21.74,26.09,21.74,22.73,18.18
S01007655,Annandale East - 05,5.88,11.11,14.29,13.33,7.69,7.14
S01007656,Annandale West - 01,16.67,12.5,17.65,10,6.25,7.69
S01007657,Annandale West - 02,5.88,0,0,0,5.88,6.67
S01007658,Annandale West - 03,42.86,20,20,0,0,0
S01007659,Annandale West - 04,36.36,34.78,30.43,15,20,23.53
S01012535,"Annbank, Mossblown and Tarbolton - the Coalfields - 01",31.43,35.14,26.47,29.03,18.52,15
S01012536,"Annbank, Mossblown and Tarbolton - the Coalfields - 02",42.11,30.43,33.33,24.14,23.08,23.08
S01012537,"Annbank, Mossblown and Tarbolton - the Coalfields - 03",35.29,31.58,33.33,22.22,17.65,16.67
S01012538,"Annbank, Mossblown and Tarbolton - the Coalfields - 04",38.89,28.89,23.91,20,18.6,14.63
S01012539,"Annbank, Mossblown and Tarbolton - the Coalfields - 05",15,17.65,16.67,11.11,9.52,15.79
S01012540,"Annbank, Mossblown and Tarbolton - the Coalfields - 06",10.71,28,29.17,38.46,35.29,32.26
S01012541,"Annbank, Mossblown and Tarbolton - the Coalfields - 07",25,16.67,15.22,14.63,20,15.15
S01010465,Anniesland East - 01,0,2.94,2.78,8.33,5.56,5.56
S01010466,Anniesland East - 02,3.7,3.85,5.26,0,0,0
S01010467,Anniesland East - 03,8.33,6.25,0,0,0,0
S01010468,Anniesland East - 04,10.34,6.9,0,0,4.35,3.85
S01010469,Anniesland East - 05,28.57,33.33,27.27,21.43,26.67,28.57
S01010470,Anniesland West - 01,15.79,20,26.09,15,18.75,7.69
S01010471,Anniesland West - 02,23.81,27.78,21.74,13.64,5.26,0
S01010472,Anniesland West - 03,3.03,3.03,11.76,14.29,17.86,4.17
S01010473,Anniesland West - 04,13.04,15.79,14.29,6.25,4.76,0
S01010474,Anniesland West - 05,11.11,12.9,13.33,8,4.35,10
S01010475,Anniesland West - 06,2.78,0,3.33,3.57,0,0
S01010476,Anniesland West - 07,20,17.65,7.5,5,5.71,7.41
S01010477,Anniesland West - 08,20,13.33,11.54,4.35,5,0
S01009707,Anstruther,10,10.53,18.18,18.75,13.33,0
S01009708,Anstruther East and Cellardyke,9.09,11.54,16.67,12.9,16.67,12.9
S01009709,Anstruther South West,18.75,20,18.75,19.05,21.05,20
S01009710,Anstruther Waid,12.5,23.08,30,21.43,29.41,25
S01009711,Anstruther West,33.33,31.25,35,35.71,26.32,14.29
S01007190,Arbroath Cliffburn - 01,13.33,7.69,7.14,9.09,11.11,16.67
S01007191,Arbroath Cliffburn - 02,21.43,22.22,17.65,21.43,16.67,12.5
S01007192,Arbroath Cliffburn - 03,42.86,26.09,18.75,14.29,10.26,11.43
S01007193,Arbroath Cliffburn - 04,52.17,42.86,47.06,31.82,26.32,22.22
S01007194,Arbroath Cliffburn - 05,40,41.38,42.31,43.33,46.15,45.45
S01007195,Arbroath Cliffburn - 06,35.29,18.18,11.11,15,27.27,26.67
S01007196,Arbroath Cliffburn - 07,26.09,23.26,17.5,25.81,25,20.59
S01007184,Arbroath Harbour - 01,26.83,27.5,20.51,18.75,21.88,33.33
S01007185,Arbroath Harbour - 02,35.48,40,36.36,31.58,22.22,25
S01007186,Arbroath Harbour - 03,42.86,31.25,34.62,28.57,37.5,35.29
S01007187,Arbroath Harbour - 04,39.29,39.29,32.14,24.14,22.58,20.83
S01007188,Arbroath Harbour - 05,21.43,23.33,32.26,35,19.05,9.52
S01007189,Arbroath Harbour - 06,12.5,9.52,20,23.81,23.81,11.76
S01007180,Arbroath Keptie - 01,33.33,25,20,20,28.57,27.27
S01007181,Arbroath Keptie - 02,15.38,16.67,10,0,0,14.29
S01007182,Arbroath Keptie - 03,16.67,14.29,11.54,11.11,13.04,9.09
S01007183,Arbroath Keptie - 04,16.67,22.5,25,24.32,12,20.69
S01007173,Arbroath Kirkton - 01,7.41,3.45,3.45,0,4.55,5
S01007174,Arbroath Kirkton - 02,15,26.32,26.32,21.05,21.05,26.09
S01007175,Arbroath Kirkton - 03,31.58,11.76,11.11,13.33,11.76,6.67
